iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
BVH,America/Porto_Velho,GMT -4:00,-4,Vilhena Airport,BVH,BR,-12.6940825,-60.0987539725512,1922,SBVH
DPB,America/Santiago,GMT -3:00,-3,Pampa Guanaco Airport,DPB,CL,-54.05,-68.808333,505,SCBI
MHC,America/Santiago,GMT -3:00,-3,Mocopulli Airport,WCA,CL,-42.341692,-73.7158534412452,544,SCPQ
OIA,America/Belem,GMT -3:00,-3,Ourilandia,OIA,BR,-6.76392515,-51.0470967511553,856,SDOW
ATF,America/Guayaquil,GMT -5:00,-5,Chachoan,ATF,EC,-1.083333,-78.7,10603,SEAM
CNR,America/Santiago,GMT -3:00,-3,Chanaral,CNR,CL,-26.33254,-70.6073399751183,104,SCRA
CPP,America/Santiago,GMT -3:00,-3,Coposa Airport,CPP,CL,-20.75,-68.683333,12391,SCKP
PUQ,America/Santiago,GMT -3:00,-3,Pres Ibanez Airport,PUQ,CL,-53.005356,-70.84307,65,SCCI
SCL,America/Santiago,GMT -3:00,-3,Arturo Merino Benitez Airport,SCL,CL,-33.397175,-70.79382,1610,SCEL
PZS,America/Santiago,GMT -3:00,-3,Temuco Maquehue Airport,PZS,CL,-38.7670058,-72.6284124301851,278,SCTC
SDI,Pacific/Port_Moresby,GMT +10:00,10,Saidor,SDI,PG,-5.55,146.5,0,AYSD
LVR,America/Cuiaba,GMT -4:00,-4,Mun. Do Bom Futuro,LVR,BR,-13.037861,-55.95025,1312,SILC
PRE,America/Bogota,GMT -5:00,-5,Pore,PRE,CO,5.733333,-71.983333,902,
PSY,Atlantic/Stanley,GMT -3:00,-3,Port Stanley,PSY,FK,-51.7,-57.85,62,SFAL
ACL,America/Bogota,GMT -5:00,-5,Aguaclara,ACL,CO,4.7470509,-72.9919234,1036,
AYI,America/Bogota,GMT -5:00,-5,Yari,AYI,CO,-0.333333,-72.333336,485,
CFO,America/Cuiaba,GMT -4:00,-4,Confreza,CFO,BR,-10.633333,-51.566666,751,SJHG
PJC,America/Asuncion,GMT -3:00,-3,Pedro Juan Caballero,PJC,PY,-22.5,-55.666668,2017,SGPJ
NPR,America/Santarem,GMT -3:00,-3,Novo Progresso Municipal,NPR,BR,-7.125833,-55.400833,751,SJNP
ECO,America/Bogota,GMT -5:00,-5,El Encanto,ECO,CO,-1.616667,-73.23333,554,
ESG,America/Asuncion,GMT -3:00,-3,Mariscal Estigarribia,ESG,PY,-22.0479425,-60.6217424772241,518,SGME
